staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
39,0.5,1.0,53.479021099999954,,53.46244309999929,53.479021099999954,53.979518299998745,53.979518299998745,53.979518299998745,54.29715379999834,54.5780980999989,left,-1.0,1,1,0.5888346000010642,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
40,0.5,1.0,54.59284469999875,,54.5783141999982,54.59284469999875,55.07734459999847,55.07734459999847,55.07734459999847,55.37795619999997,55.88220309999997,right,1.0,1,1,0.7980721000003541,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
41,0.5,1.0,55.89787629999955,,55.882759899999655,55.89787629999955,56.39754549999998,56.39754549999998,56.39754549999998,56.698577099999966,57.09794519999923,left,-1.0,1,1,0.6932590999986132,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
42,0.5,1.0,57.111794099999315,,57.09864489999927,57.111794099999315,57.610695499999565,57.610695499999565,57.610695499999565,57.914864399999715,58.57899869999892,left,-1.0,1,1,0.9613549999994575,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
43,0.5,1.0,58.59603619999871,,58.57931719999942,58.59603619999871,59.093753999999535,59.093753999999535,59.093753999999535,59.39426319999984,59.8301309999988,left,-1.0,1,1,0.7235501000013755,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
44,0.5,1.0,59.84680399999888,,59.83048389999931,59.84680399999888,60.332474699998784,60.332474699998784,60.332474699998784,60.648095899998225,61.034117799999876,left,-1.0,1,1,0.6976940000004106,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
45,0.5,1.0,61.045183799998995,,61.03447489999962,61.045183799998995,61.54521659999955,61.54521659999955,61.54521659999955,61.84654859999864,62.28428499999973,left,-1.0,1,1,0.7346907000010106,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
46,0.5,1.0,62.296038399999816,,62.28467089999867,62.296038399999816,62.79898919999869,62.79898919999869,62.79898919999869,63.11513509999895,63.69983649999995,left,-1.0,1,1,0.8955600000008417,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
47,0.5,1.0,63.71534629999951,,63.700316999998904,63.71534629999951,64.2156243999998,64.2156243999998,64.2156243999998,64.51530609999827,65.14874669999881,right,1.0,0,0,0.9245530999996845,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
48,0.5,1.5,65.16565979999905,,65.14940059999935,65.16565979999905,65.66610099999889,65.66610099999889,65.66610099999889,65.96624789999987,66.19937909999862,left,-1.5,1,1,0.5286843000012595,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
