thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
46,0,46,-3,down,1,0.8065173999639228,None,46,0,46,0,60.715776600001846,,60.69885410001734,60.715776600001846,61.198544100043364,61.2152140000253,62.01581340003759,-3,down,1,0.8065173999639228,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
47,0,47,0,down,0,0.9606283000321127,None,47,0,47,0,62.03202700003749,,62.01615430001402,62.03202700003749,62.51538040000014,62.5321095000254,63.48292550002225,0,down,0,0.9606283000321127,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
48,0,48,3,down,1,0.9085306000197306,None,48,0,48,0,63.49878770002397,,63.48338049999438,63.49878770002397,63.98189340002136,63.99870610004291,64.89930530003039,3,down,1,0.9085306000197306,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
49,0,49,0,up,1,0.8167283000075258,None,49,0,49,0,64.91603490000125,,64.89973930001725,64.91603490000125,65.39835790003417,65.43195910000941,66.21655429998646,0,up,1,0.8167283000075258,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
50,0,50,-5,down,1,1.4552548000356182,None,50,0,50,0,66.23196000000462,,66.21694050001679,66.23196000000462,66.7316509000375,66.7316509000375,68.19953710003756,-5,down,1,1.4552548000356182,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
51,0,51,1,up,0,0.9054912999854423,None,51,0,51,0,68.21507110004313,,68.19991389999632,68.21507110004313,68.7149977000081,68.7149977000081,69.63039490004303,1,up,0,0.9054912999854423,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
52,0,52,0,down,0,1.5395000000135042,None,52,0,52,0,69.64663620002102,,69.63064430002123,69.64663620002102,70.13164239999605,70.14824420004152,71.68261700001312,0,down,0,1.5395000000135042,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
53,0,53,0,up,1,1.2661381000070833,None,53,0,53,0,71.69831850001356,,71.68296629999531,71.69831850001356,72.18180510000093,72.19804530002875,73.4488427999895,0,up,1,1.2661381000070833,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
54,0,54,3,down,1,0.7343230000115,None,54,0,54,0,73.46519760001684,,73.44924390001688,73.46519760001684,73.94843320001382,73.96518540004035,74.68336369999452,3,down,1,0.7343230000115,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
55,0,55,-4,down,1,1.098585700034164,None,55,0,55,0,74.69750730000669,,74.68369400000665,74.69750730000669,75.1988272999879,75.1988272999879,76.29953540000133,-4,down,1,1.098585700034164,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
56,0,56,0,up,1,0.639148699992802,None,56,0,56,0,76.31489620002685,,76.29991290002363,76.31489620002685,76.81469060003292,76.81469060003292,77.46602679998614,0,up,1,0.639148699992802,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
57,0,57,0,up,1,0.6771333999931812,None,57,0,57,0,77.48168850003276,,77.4664097999921,77.48168850003276,77.98219519999111,77.98219519999111,78.66506460000528,0,up,1,0.6771333999931812,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
58,0,58,3,down,1,0.8225206000497565,None,58,0,58,0,78.68131270003505,,78.66559510002844,78.68131270003505,79.16466850001598,79.18132800003514,79.99882430001162,3,down,1,0.8225206000497565,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
59,0,59,-2,up,0,2.954948900034651,None,59,0,59,0,80.01470629998948,,79.99919090000913,80.01470629998948,80.49794309999561,80.51491690002149,83.4659260000335,-2,up,0,2.954948900034651,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
60,0,60,3,down,1,0.7265036999597214,None,60,0,60,0,83.4811981000239,,83.46631839999463,83.4811981000239,83.98140769999009,83.98140769999009,84.71541669999715,3,down,1,0.7265036999597214,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
61,0,61,0,up,1,1.2100031000445597,None,61,0,61,0,84.73283320001792,,84.71573520003585,84.73283320001792,85.214192799991,85.24780350003857,86.43204069999047,0,up,1,1.2100031000445597,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
62,0,62,2,down,1,0.9272607000311837,None,62,0,62,0,86.44787299999734,,86.43239720002748,86.44787299999734,86.94822610000847,86.94822610000847,87.88177510001697,2,down,1,0.9272607000311837,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
63,0,63,-5,down,1,1.377129899978172,None,63,0,63,0,87.89773140003672,,87.88214619999053,87.89773140003672,88.38159120001364,88.39812820003135,89.76568210002733,-5,down,1,1.377129899978172,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
